class,symbol,ts,weekday,open,close,volume
us_stocks,APC,2017-04-30,Sunday,54.69671,54.44691,4931206.0
us_stocks,APC,2017-05-07,Sunday,50.4501,50.25795,6541036.0
us_stocks,APC,2017-05-14,Sunday,50.575,49.84482,5220757.0
us_stocks,APC,2017-05-21,Sunday,52.093023,51.25715,4709380.0
us_stocks,APC,2017-06-04,Sunday,47.94249,47.69269,4163334.0
us_stocks,APC,2017-06-11,Sunday,46.67427,46.40525,5192962.0
us_stocks,APC,2017-06-18,Sunday,45.021745,44.86802,4175658.0
us_stocks,APC,2017-06-25,Sunday,43.83039,43.15785,4575500.0
us_stocks,APC,2017-07-02,Sunday,43.7151,44.29156,2547926.0
us_stocks,APC,2017-07-09,Sunday,41.57258,41.88002,3487592.0
us_stocks,APC,2017-07-16,Sunday,42.86001,43.44608,4900159.0
us_stocks,APC,2017-07-23,Sunday,42.45648,42.4757,5152929.0
us_stocks,APC,2017-07-30,Sunday,44.31077,43.87843,4135667.0
us_stocks,APC,2017-08-06,Sunday,42.79276,42.62942,3885660.0
us_stocks,APC,2017-08-13,Sunday,41.90884,41.33238,4059278.0
us_stocks,APC,2017-08-20,Sunday,40.32357,40.40043,3677073.0
us_stocks,APC,2017-08-27,Sunday,40.56377,39.65103,4321156.0
us_stocks,APC,2017-09-10,Sunday,39.4877,39.41084,3378194.0
us_stocks,APC,2017-09-17,Sunday,41.76473,42.043352,2684236.0
us_stocks,APC,2017-09-24,Sunday,47.51975,47.97131,6266850.0
us_stocks,APC,2017-10-01,Sunday,46.0017326,47.44289,9266649.0
us_stocks,APC,2017-10-08,Sunday,46.73192,46.94329,5050998.0
us_stocks,APC,2017-10-15,Sunday,46.17467,46.54937,4361538.0
us_stocks,APC,2017-10-22,Sunday,47.26995,46.2131,5488806.0
us_stocks,APC,2017-10-29,Sunday,47.14505,46.77996,5775314.0
us_stocks,APC,2017-11-05,Sunday,47.84641,49.79678,7401170.0
us_stocks,APC,2017-11-12,Sunday,49.047376,48.25954,11018139.0
us_stocks,APC,2017-11-19,Sunday,45.98252,46.41486,3632411.0
us_stocks,APC,2017-11-26,Sunday,46.078592,45.81918,4839841.0
us_stocks,APC,2017-12-03,Sunday,46.67427,46.68388,4468546.0
us_stocks,APC,2017-12-10,Sunday,46.23232,46.40525,4074639.0
us_stocks,APC,2017-12-17,Sunday,45.81918,46.62623,4737974.0
us_stocks,APC,2018-01-07,Sunday,52.8136,53.21712,4765018.0
us_stocks,APC,2018-01-21,Sunday,56.012968,58.33804,6220088.0
us_stocks,APC,2018-01-28,Sunday,59.02979,58.56862,3379968.0
us_stocks,APC,2018-02-04,Sunday,55.84964,54.61985,8064603.0
us_stocks,APC,2018-02-11,Sunday,54.76397,55.5518,6654901.0
us_stocks,APC,2018-02-25,Sunday,58.83764,58.03059,4283420.0
us_stocks,APC,2018-03-04,Sunday,54.99455,56.63747,6540703.0
us_stocks,APC,2018-03-11,Sunday,55.72474,56.66629,4073431.0
us_stocks,APC,2018-03-18,Sunday,55.63827,54.78318,4394278.0
us_stocks,APC,2018-03-25,Sunday,59.94252,60.13468,4982491.0
us_stocks,APC,2018-04-01,Sunday,57.73275,55.88807,5988784.0
us_stocks,APC,2018-04-08,Sunday,57.050603,57.48295,5066539.0
us_stocks,APC,2018-04-15,Sunday,61.085843,60.97055,4362071.0
us_stocks,APC,2018-04-22,Sunday,63.54542,64.16031,6245686.0
us_stocks,APC,2018-04-29,Sunday,64.006589,64.67913,4030832.0
us_stocks,APC,2018-05-06,Sunday,64.54462,63.41091,4392326.0
us_stocks,APC,2018-05-13,Sunday,65.96656,66.48537,3804824.0
us_stocks,APC,2018-05-20,Sunday,68.40692,68.89691,3435978.0
us_stocks,APC,2018-06-03,Sunday,68.59907,66.61988,3804506.0
us_stocks,APC,2018-06-10,Sunday,68.61829,68.86809,3260692.0
us_stocks,APC,2018-06-17,Sunday,66.27401,66.90812,5634498.0
us_stocks,APC,2018-06-24,Sunday,70.93375,69.069851,4605576.0
us_stocks,APC,2018-07-01,Sunday,69.84807,69.59828,3623933.0
us_stocks,APC,2018-07-08,Sunday,71.31806,72.23079,5557381.0
us_stocks,APC,2018-07-15,Sunday,70.42454,69.98258,3239727.0
us_stocks,APC,2018-07-22,Sunday,68.59907,68.27241,2852463.0
us_stocks,APC,2018-07-29,Sunday,70.30925,70.81845,3735971.0
us_stocks,APC,2018-08-05,Sunday,66.29322,65.60147,6847131.0
us_stocks,APC,2018-08-12,Sunday,64.045021,63.73757,3933113.0
us_stocks,APC,2018-08-19,Sunday,59.56782,59.87527,4291447.0
us_stocks,APC,2018-08-26,Sunday,61.26839,62.017793,2984974.0
us_stocks,APC,2018-09-09,Sunday,61.31643,60.70153,3240006.0
us_stocks,APC,2018-09-16,Sunday,60.75918,61.46054,4000318.0
us_stocks,APC,2018-09-23,Sunday,63.43973,63.42052,3068975.0
us_stocks,APC,2018-09-30,Sunday,65.11147,66.04342,3920422.0
us_stocks,APC,2018-10-07,Sunday,66.34126,66.55263,3049822.0
us_stocks,APC,2018-10-14,Sunday,65.1499,64.97696,3920376.0
us_stocks,APC,2018-10-21,Sunday,63.24758,61.42211,3623510.0
us_stocks,APC,2018-10-28,Sunday,56.38767,53.67829,6520659.0
us_stocks,APC,2018-11-04,Sunday,52.33322,52.54458,5944380.0
us_stocks,APC,2018-11-11,Sunday,56.37806,54.062603,6141781.0
us_stocks,APC,2018-11-18,Sunday,52.5638,53.42849,7744026.0
us_stocks,APC,2018-11-25,Sunday,50.1907,50.31559,3361910.0
us_stocks,APC,2018-12-02,Sunday,52.73674,53.29399,4908165.0
us_stocks,APC,2018-12-09,Sunday,49.38365,49.056986,5019558.0
us_stocks,APC,2018-12-16,Sunday,48.67268,47.63504,4669278.0
us_stocks,APC,2018-12-23,Sunday,40.66945,38.97849,3429511.0
us_stocks,APC,2018-12-30,Sunday,41.78395,42.12022,3628984.0
us_stocks,APC,2019-01-06,Sunday,44.88724,45.14665,4732343.0
us_stocks,APC,2019-01-13,Sunday,45.17547,45.30037,5555417.0
us_stocks,APC,2019-01-27,Sunday,44.20509,44.62783,4711948.0
us_stocks,APC,2019-02-03,Sunday,46.078592,47.2027,3384477.0
us_stocks,APC,2019-02-10,Sunday,39.78554,40.89043,6942635.0
us_stocks,APC,2019-02-24,Sunday,41.75512,42.8504,6921270.0
us_stocks,APC,2019-03-03,Sunday,42.88883,43.0041234,4816701.0
us_stocks,APC,2019-03-10,Sunday,40.92886,41.74552,3462456.0
us_stocks,APC,2019-03-17,Sunday,42.86001,43.32118,3499927.0
us_stocks,APC,2019-03-24,Sunday,41.30356,41.88963,4292683.0
us_stocks,APC,2019-03-31,Sunday,44.31077,44.18588,5017698.0
us_stocks,APC,2019-04-07,Sunday,45.15625,45.3388,5812591.0
us_stocks,APC,2019-04-14,Sunday,59.45253,59.81762,32046690.0
us_stocks,APC,2019-04-21,Sunday,62.094649,61.54701,12552150.0
us_stocks,APC,2019-04-28,Sunday,69.67513,70.069054,11353399.0
us_stocks,APC,2019-05-05,Sunday,71.88491,72.52863,27934480.0
us_stocks,APC,2019-05-12,Sunday,69.81925,69.91533,11547307.0
us_stocks,APC,2019-05-19,Sunday,69.73279,69.89611,8742314.0
us_stocks,APC,2019-06-02,Sunday,67.67674,67.28282,8398288.0
us_stocks,APC,2019-06-09,Sunday,67.42693,67.32125,8443280.0
us_stocks,APC,2019-06-16,Sunday,67.013801,67.02341,6455499.0
us_stocks,APC,2019-06-23,Sunday,67.64791,67.35968,4603909.0
us_stocks,APC,2019-06-30,Sunday,68.15712,67.91693,6413902.0
us_stocks,APC,2019-07-07,Sunday,68.041826,68.1283,9625402.0
us_stocks,APC,2019-07-14,Sunday,70.34768,70.2516,7169637.0
us_stocks,APC,2019-07-21,Sunday,70.58787,70.7512,7904219.0
us_stocks,APC,2019-07-28,Sunday,70.66473,70.36689,6497610.0
us_stocks,APC,2019-08-04,Sunday,70.59748,70.23238,11552787.0
us_stocks,CAG,1980-03-16,Sunday,0.16724943,0.16724943,8099.0
us_stocks,CVS,1980-03-16,Sunday,0.91441322,0.91441322,590400.0
us_stocks,CVS,2009-07-26,Sunday,56.41668,56.41668,0.0
us_stocks,FDC,2012-03-03,Saturday,69.74574,69.56973,647.0
us_stocks,FDC,2012-09-08,Saturday,78.61751,78.2118,8479.0
us_stocks,FDC,2019-10-27,Sunday,163.046329,166.11257,2198.0
us_stocks,FDC,2020-11-14,Saturday,329.37293,327.61339,4130.0
us_stocks,FDC,2025-02-01,Saturday,477.015611,475.13916,4841.0
us_stocks,FDC,2026-02-01,Sunday,371.58825,373.2672,927.0
us_stocks,GIS,1980-03-16,Sunday,0.48903374,0.48903374,460800.0
us_stocks,HSY,1980-03-16,Sunday,0.42074717,0.42074717,96000.0
us_stocks,INFO,2014-06-22,Sunday,26.62779,26.12943,1527085.0
us_stocks,INFO,2014-06-29,Sunday,26.55938,26.36395,694466.0
us_stocks,INFO,2014-07-06,Sunday,26.34441,26.32486,264615.0
us_stocks,INFO,2014-07-13,Sunday,25.89491,25.4845,2140647.0
us_stocks,INFO,2014-07-20,Sunday,25.20112,25.21089,1044874.0
us_stocks,INFO,2014-07-27,Sunday,25.32815,25.53336,306112.0
us_stocks,INFO,2014-08-03,Sunday,24.47802,24.87866,192245.0
us_stocks,INFO,2014-08-10,Sunday,23.51062,25.24021,152309.0
us_stocks,INFO,2014-08-17,Sunday,24.80048,24.84934,639561.0
us_stocks,INFO,2014-08-24,Sunday,24.7614,24.63436,502085.0
us_stocks,INFO,2014-09-07,Sunday,24.20441,24.11647,243014.0
us_stocks,INFO,2014-09-14,Sunday,23.8624,23.92103,128617.0
