book,signal,family,horizon,t,null_sd,p_perm
top-20,H_high_prox_126,H,21,-0.737589876625638,0.6521166206026767,0.75
top-20,H_low_prox_126,H,1,-1.8458728420501151,0.7453046203764787,0.20833333333333334
top-20,H_low_prox_126,H,5,-1.2792524169219808,0.4894786717734399,0.5416666666666666
top-20,H_low_prox_126,H,21,-0.9882042165920653,0.5807646651936857,0.7083333333333334
top-20,H_drawdown_126,H,1,0.5154026063245403,0.8454637559175853,0.75
top-20,H_drawdown_126,H,5,-0.19444256562640713,0.7678325806908853,0.9166666666666666
top-20,H_drawdown_126,H,21,-0.737589876625638,0.8188163331523203,0.75
top-20,H_high_prox_252,H,1,0.1524236884308307,0.6626179907089369,0.9583333333333334
top-20,H_high_prox_252,H,5,-0.6956505030077065,0.8483581606010128,0.6666666666666666
top-20,H_high_prox_252,H,21,-1.1584651506309054,0.46620283178358474,0.125
top-20,H_low_prox_252,H,1,-2.1318674581420867,0.5539291749469675,0.04
top-20,H_low_prox_252,H,5,-1.6280873567419931,0.41627879066665097,0.041666666666666664
top-20,H_low_prox_252,H,21,-1.113118413864124,0.45852023356653915,0.5416666666666666
top-20,H_drawdown_252,H,1,0.1524236884308307,0.9278444325824253,0.875
top-20,H_drawdown_252,H,5,-0.6956505030077065,0.8677000385290631,0.6666666666666666
top-20,H_drawdown_252,H,21,-1.1584651506309054,0.8466328477506965,0.25
S&P-PIT,A_mom_21,A,1,-1.7497958190025296,1.0803144121734458,0.20833333333333334
S&P-PIT,A_mom_21,A,5,-1.5780437696831775,0.9093027132089699,0.08333333333333333
S&P-PIT,A_mom_21,A,21,-2.1997418745084354,0.8784603162710735,0.04
S&P-PIT,A_mom_63,A,1,-0.1959425553197947,0.7240090390791559,0.7916666666666666
S&P-PIT,A_mom_63,A,5,-1.0412952969512241,0.8812148458445392,0.20833333333333334
S&P-PIT,A_mom_63,A,21,-0.6126257260518987,0.6917730411561429,0.3333333333333333
S&P-PIT,A_mom_63_skip21,A,1,0.7550084827716397,0.8233204489576103,0.375
S&P-PIT,A_mom_63_skip21,A,5,-0.25090536256219825,0.810331177788053,0.8333333333333334
S&P-PIT,A_mom_63_skip21,A,21,0.5852446200295945,0.7652702771066818,0.5
S&P-PIT,A_mom_126,A,1,1.4470718486251473,1.1450685960593463,0.375
S&P-PIT,A_mom_126,A,5,0.2764356272203345,0.6387282786199054,0.875
S&P-PIT,A_mom_126,A,21,-0.11420187697011927,0.7360503823234207,0.9166666666666666
