class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
crypto,1h,BNB/USD,EMA_9,vector-reference,kraken,57501,False,1.0383352829884365e-83,1.0383352829882023e-83,2.342666957172151e-84,True,,,,
crypto,1h,BNB/USD,EMA_9,vector-nautilus,gross,20000,True,38624.18494673256,38616.52,0.00019844941046997565,False,22420.0,7.664946732562385,2.2459964381093753,46.108333999756724
crypto,1h,TRX/USD,STDDEV,vector-reference,gross,57437,False,2679.3737171481825,2679.3737171482207,1.4256606769704257e-14,True,,,,
crypto,1h,TRX/USD,STDDEV,vector-reference,binance,57437,False,9.843453159427801e-08,9.843453159426883e-08,9.331088768368356e-14,True,,,,
crypto,1h,TRX/USD,STDDEV,vector-reference,coinbase,57437,False,2.0449587812277997e-56,2.0449587812271612e-56,6.384253750572832e-57,True,,,,
crypto,1h,TRX/USD,STDDEV,vector-reference,kraken,57437,False,3.662838556562531e-75,3.6628385565619065e-75,6.244366887858708e-76,True,,,,
crypto,1h,TRX/USD,STDDEV,vector-nautilus,gross,20000,True,5404.169907348859,4232.31,0.216843646191676,False,27328.0,1171.8599073488585,2.479677398372619,31.906253600027412
crypto,1h,SOL/USD,BOP,vector-reference,gross,42793,False,36.02915799576163,36.029157995760976,1.8143619037008952e-14,True,,,,
crypto,1h,SOL/USD,BOP,vector-reference,binance,42793,False,1.1082242260677135e-20,1.1082242260672116e-20,5.0194549175592334e-21,True,,,,
crypto,1h,SOL/USD,BOP,vector-reference,coinbase,42793,False,4.852630402348032e-121,4.852630402344488e-121,3.544458920370117e-121,True,,,,
crypto,1h,SOL/USD,BOP,vector-reference,kraken,42793,False,1.0978631245679435e-159,1.0978631245675257e-159,4.1783682630393464e-160,True,,,,
crypto,1h,SOL/USD,BOP,vector-nautilus,gross,20000,True,985.577099924314,984.87,0.0007174475993489299,True,30970.0,0.7070999243139795,2.6397443057993324,179.37113419966772
